Topic Category,PDF,Text
total number of disciplinary terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,"Education Code 25.092(c) A district, a board, and its employees shall be immune from civil li- ability and administrative disciplinary action for damages or injuries resulting from the administration of medication to a student in ac- cordance with Education Code 22.052."
total number of disciplinary terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,"Gov’t Code 418.006, 437.222 A professional employee of a school district may not be subject to disciplinary proceedings for: 1."
total number of disciplinary terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,“Disciplinary proceeding” means: 1.
total number of disciplinary terms mentioned,DGC_LEGAL_-_Employee_Rights_and_Privileges_Immunity_LEGAL.pdf,Code 148.003(a)Immunity for Mental Health First Aid Immunity for Shelter Workers Immunity for Disciplinary Actions Liability for Causing Exposure to Pandemic Disease
total number of disciplinary terms mentioned,DHB_LEGAL_-_Employee_Standards_of_Conduct_Reports_to_State_Board_for_Educator_Certification_LEGAL.pdf,"[See AF] The superintendent may notify the State Board for Educator Certifi- cation (SBEC) of any educator misconduct that he or she believes in good faith may be subject to sanctions under 19 Administrative Code, Chapter 249, Disciplinary Proceedings, Sanctions, and Con- tested Cases, and/or Chapter 247, Educators' Code of Ethics."
total number of drug or alcohol terms mentioned,DHB_LEGAL_-_Employee_Standards_of_Conduct_Reports_to_State_Board_for_Educator_Certification_LEGAL.pdf,"The current use by a person of a controlled substance as de- fined by Chapter 481, Health and Safety Code, in a manner or to the extent that the use results in physical, mental, or emo- tional injury to a child; 9."
total number of drug or alcohol terms mentioned,DHB_LEGAL_-_Employee_Standards_of_Conduct_Reports_to_State_Board_for_Educator_Certification_LEGAL.pdf,Providing the student with drugs or alcohol.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"Skinner v. Railway Labor Executives Ass’n, 489 U.S. 602 (1989) A district may conduct drug tests, without a warrant and without in- dividualized suspicion, when the test serves special governmental needs that outweigh the individual’s privacy expectation."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,382.107 A district shall ensure that all alcohol or controlled substances test- ing conducted under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Pre-employment controlled substance tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Post-accident alcohol or controlled substance tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Random alcohol or controlled substances tests required un- der 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Reasonable suspicion alcohol or controlled substance tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Return-to-duty alcohol or controlled substances tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Follow-up alcohol or controlled substance tests required un- der 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,382.211 A district is not required to provide an evaluation by a substance abuse professional or any subsequent recommended education or treatment for an employee who has violated a drug and alcohol regulation of the DOT.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"However, if a district offers an employee an opportunity to return to a safety-sensitive duty following a violation, the district must, be- fore the employee again performs that duty, ensure that the em- ployee receives an evaluation by a substance abuse professional and that the employee successfully complies with the profes- sional’s evaluation recommendations."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"40.289 If a district permits an employee who has violated a DOT drug and alcohol regulation to return to safety-sensitive functions, the district must ensure that the employee takes a return-to-duty test."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,This test cannot occur until after the substance abuse professional has de- termined that the employee has successfully complied with pre- scribed education and/or treatment.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,The employee must have a negative drug test result and/or an alcohol test with an alcohol con- centration of less than 0.02 before resuming performance of safety-sensitive duties.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,The district shall ensure that a copy of these materials is distributed to each driver before the start of alcohol and controlled substances testing under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"A valid positive result on an alcohol or drug test performed and whether the specimen producing the result was a dilute specimen, as defined by 49 C.F.R."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,A refusal to provide a specimen for an alcohol or drug test; or 3.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"40.3, on an alcohol or drug test."
total number of disciplinary terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,Searches that reveal a violation of the District’s standards of conduct may result in disciplinary action.
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,[See DH] The District may remove an employee from duty and require test- ing if there is reasonable suspicion that the employee is under the influence of alcohol or drugs used in violation of District policy.
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,Any e mployee who is asked to submit to drug or alco- hol screening shall be given the opportunity to provide relevant in- formation about prescription or nonprescription medications that may affect the screening.
total number of disciplinary terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"A District employee who refus es to comply with a dir ective to sub- mit to testing based upon reasonable suspicion shall be subject to disciplinary action, up to and including termination."
